,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
56,Naryan-Mar,92,RU,1553362164,88,67.67,53.09,30.01,22.64
57,Vardo,1,US,1553362143,33,39.62,-77.74,48.0,9.17
58,Vila Franca do Campo,75,PT,1553361954,87,37.72,-25.43,55.4,36.91
59,Hervey Bay,40,AU,1553361309,94,-25.3,152.85,73.0,3.29
60,Saskylakh,0,RU,1553362135,33,71.97,114.09,-23.01,3.4
61,Tasiilaq,20,GL,1553359800,56,65.61,-37.64,15.8,13.87
62,Tuktoyaktuk,90,CA,1553360400,71,69.44,-133.03,6.8,25.28
63,Qaanaaq,8,GL,1553362173,61,77.48,-69.36,-21.57,10.0
64,Isangel,92,VU,1553362174,100,-19.55,169.27,76.99,15.14
65,Iguape,24,BR,1553362175,94,-24.7,-47.56,79.87,6.98
66,Grindavik,75,IS,1553361399,93,63.84,-22.43,41.0,19.46
67,Dikson,68,RU,1553361695,91,73.51,80.55,15.07,21.52
68,Ust-Nera,56,RU,1553362179,68,64.57,143.24,-12.39,2.17
69,Hobart,75,AU,1553362094,68,-42.88,147.33,64.4,10.29
70,Landeck,0,AT,1553362146,31,47.14,10.57,64.4,6.93
71,Mecca,0,SA,1553361665,49,21.43,39.83,69.52,2.73
72,Englewood,75,US,1553362174,80,39.65,-104.99,50.0,10.29
73,Cockburn Town,0,TC,1553361777,98,21.46,-71.14,79.6,10.22
74,Severo-Kurilsk,80,RU,1553361524,96,50.68,156.12,30.1,18.61
75,Bredasdorp,8,ZA,1553361424,83,-34.53,20.04,73.99,8.05
76,Tiksi,48,RU,1553362126,68,71.64,128.87,1.57,3.06
77,Arona,0,IT,1553362163,58,45.76,8.56,70.0,3.36
78,Lisala,68,CD,1553362190,77,2.15,21.52,78.88,5.75
79,Ribeira Grande,40,PT,1553358600,62,38.52,-28.7,59.0,13.87
80,Carnarvon,92,ZA,1553361601,16,-30.97,22.13,78.7,7.43
81,Hamilton,75,BM,1553361362,64,32.3,-64.78,72.0,21.92
82,Cervo,40,BR,1553356800,73,-22.19,-46.24,77.0,5.82
83,Adiake,20,CI,1553358600,70,5.29,-3.3,86.0,12.75
84,Marawi,32,PH,1553361400,85,8.0,124.29,73.99,1.99
85,Bowen,88,AU,1553362185,94,-20.01,148.25,75.2,3.36
86,Pangkalanbuun,36,ID,1553362166,89,-2.68,111.62,73.57,3.18
87,Paita,0,PE,1553360400,290,-5.09,-81.11,62.6,8.88
88,Cabo San Lucas,5,MX,1553361612,56,22.89,-109.91,81.0,2.24
89,Ilulissat,75,GL,1553359800,39,69.22,-51.1,-5.81,18.34
90,Coquimbo,36,CL,1553362204,95,-29.95,-71.34,64.93,3.74
91,Nanortalik,24,GL,1553362205,100,60.14,-45.24,23.17,17.72
92,Verkhnyaya Inta,20,RU,1553361559,80,65.99,60.32,23.89,5.75
93,Nurlat,0,RU,1553362208,90,54.43,50.8,26.95,2.95
94,Ancud,75,CL,1553360400,72,-41.87,-73.83,59.0,5.82
95,Narsaq,40,GL,1553359800,44,60.91,-46.05,17.6,5.82
96,Mount Pleasant,1,US,1553361658,67,33.16,-94.97,68.0,6.31
97,Guerrero Negro,0,MX,1553362212,63,27.97,-114.04,68.26,4.85
98,Katsuura,40,JP,1553360400,93,33.93,134.5,37.4,5.82
99,Hohhot,0,CN,1553360400,52,40.81,111.65,19.4,4.47
100,Tomaszow Mazowiecki,0,PL,1553362104,66,51.53,20.01,60.01,2.24
101,Dingle,68,PH,1553362040,77,11.0,122.67,77.08,12.12
102,Atuona,68,PF,1553362153,100,-9.8,-139.03,82.12,16.49
103,Albany,75,US,1553362026,55,42.65,-73.75,39.0,27.51
104,Riachao do Jacuipe,88,BR,1553362221,83,-11.81,-39.39,80.68,3.29
105,Batie,0,FR,1553361666,36,45.06,5.82,68.0,10.29
106,Castro,75,CL,1553360400,72,-42.48,-73.76,59.0,5.82
107,Acapulco,5,MX,1553359980,45,16.86,-99.88,87.8,6.93
108,Arraial do Cabo,40,BR,1553360400,61,-22.97,-42.02,82.4,9.17
109,Verkh-Usugli,0,RU,1553362227,55,52.7,115.17,17.95,7.09
110,Port Elizabeth,1,US,1553361652,36,39.31,-74.98,50.0,26.4
111,Mount Isa,68,AU,1553360400,74,-20.73,139.49,78.8,12.75
112,Lebu,40,ET,1553360400,28,8.96,38.73,69.8,9.17
113,Ciudad Bolivar,0,VE,1553362232,26,8.12,-63.55,98.23,12.46
114,Avarua,80,CK,1553360400,94,-21.21,-159.78,75.2,2.24
115,Colares,0,PT,1553362214,27,38.8,-9.45,75.2,8.05
116,Cape Town,0,ZA,1553361791,73,-33.93,18.42,75.99,11.41
117,Gejiu,48,CN,1553362236,76,23.36,103.16,58.18,1.61
118,Flinders,32,AU,1553362217,83,-34.58,150.85,71.01,5.82
119,Diu,0,IN,1553362239,36,20.71,70.98,74.38,3.74
120,Clonakilty,90,IE,1553358600,86,51.62,-8.87,44.6,4.7
121,Ponta do Sol,36,BR,1553362225,79,-20.63,-46.0,77.89,5.19
122,Adre,12,TD,1553361765,49,13.47,22.2,82.3,3.18
123,Yellowknife,20,CA,1553362003,54,62.45,-114.38,3.2,8.05
124,Saint-Philippe,1,CA,1553362098,50,45.36,-73.48,32.0,26.4
125,Khasan,0,RU,1553362245,100,42.43,130.64,24.16,8.43
126,Boundiali,76,CI,1553362247,29,9.53,-6.48,93.64,2.95
127,Jhelum,0,PK,1553362213,89,32.94,73.72,52.6,2.51
128,Rio Gallegos,75,AR,1553360400,87,-51.62,-69.22,53.6,5.82
129,Yorkton,1,CA,1553360400,70,51.21,-102.46,44.6,4.7
130,Sept-Iles,90,CA,1553361370,79,50.2,-66.38,32.0,19.46
131,Faanui,44,PF,1553362252,100,-16.48,-151.75,83.47,10.22
132,Vanderhoof,80,CA,1553362253,80,54.02,-124.02,38.2,2.84
133,Pisco,0,PE,1553360400,30,-13.71,-76.2,71.6,9.17
134,Kurumkan,68,RU,1553362256,77,54.33,110.32,13.99,3.74
135,Nelson Bay,20,AU,1553362231,94,-32.72,152.14,72.0,3.36
136,Valparaiso,1,US,1553362250,60,41.47,-87.06,48.0,5.82
137,Van,75,TR,1553359800,100,38.51,43.37,37.4,2.24
138,Geraldton,20,CA,1553360400,19,49.72,-86.95,44.6,16.11
139,Annau,12,TM,1553360400,81,37.89,58.52,50.0,9.17
140,Norman Wells,40,CA,1553360400,73,65.28,-126.83,24.8,24.16
141,Clyde River,75,CA,1553360400,68,70.47,-68.59,-16.61,17.22
142,Trincomalee,8,LK,1553362265,90,8.58,81.23,74.74,3.85
143,Sheltozero,88,RU,1553362266,91,61.37,35.37,33.7,20.51
144,Kaitangata,80,NZ,1553362262,91,-46.28,169.85,56.38,3.96
145,Bluff,0,AU,1553362110,89,-23.58,149.07,70.24,3.74
146,Monrovia,40,LR,1553360400,74,6.33,-10.8,86.0,10.29
147,Puri,20,ID,1553356800,88,-7.54,112.45,78.8,8.05
148,Port Alfred,0,ZA,1553362210,92,-33.59,26.89,77.0,4.0
149,Christchurch,0,NZ,1553362204,93,-43.53,172.64,62.01,4.7
150,Torbay,75,CA,1553362203,76,47.66,-52.73,54.0,23.04
151,Corn Island,8,NI,1553362275,100,12.17,-83.04,79.69,13.35
152,Barrow,0,AR,1553362221,48,-38.31,-60.23,79.42,21.41
153,Nagaur,0,IN,1553362073,34,27.2,73.74,66.55,4.74
154,Oktyabrskoye,0,RU,1553362228,86,56.73,85.44,35.01,2.24
155,Sarny,0,UA,1553362280,58,51.32,26.62,37.03,4.18
156,Bethel,75,US,1553360160,80,60.79,-161.76,35.6,6.93
157,Leh,76,IN,1553362282,83,34.16,77.58,2.83,0.83
158,La Ronge,75,CA,1553358600,86,55.1,-105.3,30.2,14.99
159,Vestmannaeyjar,75,IS,1553360400,86,63.44,-20.27,39.2,18.34
160,Porto Novo,20,BR,1553360400,51,-23.68,-45.44,82.4,3.36
161,Sao Filipe,0,CV,1553362287,92,14.9,-24.5,71.95,15.26
162,Ouro Sogui,24,SN,1553362288,56,15.61,-13.32,78.88,4.41
163,Provideniya,92,RU,1553362237,100,64.42,-173.23,15.07,12.24
164,Garden City,1,US,1553361995,41,40.73,-73.63,48.0,20.8
165,Haines Junction,24,CA,1553362270,76,60.75,-137.51,32.98,2.73
166,Baruun-Urt,48,MN,1553362027,46,46.68,113.28,29.92,11.23
167,Srednebelaya,40,RU,1553360400,57,50.66,128.01,17.6,4.47
168,Dolores,20,UY,1553362296,47,-33.53,-58.22,77.17,7.31
169,Laguna,5,MX,1553359200,40,27.52,-110.01,69.8,5.82
170,Bilma,8,NE,1553362298,12,18.69,12.92,85.72,11.68
171,Ucluelet,75,CA,1553361924,100,48.94,-125.55,50.0,3.36
172,Yaan,48,NG,1553362281,63,7.38,8.57,86.62,4.41
173,Bondoukou,48,CI,1553362301,42,8.04,-2.8,91.48,2.84
174,Puerto Ayora,75,EC,1553361391,74,-0.74,-90.35,84.2,10.29
175,Tura,0,IN,1553362304,57,25.52,90.21,63.22,3.85
176,Alamogordo,1,US,1553362024,25,32.9,-105.96,63.0,10.29
177,Prince Rupert,90,CA,1553360400,61,54.32,-130.32,50.0,8.05
178,New Norfolk,75,AU,1553362094,68,-42.78,147.06,64.4,10.29
179,Narrabri,90,AU,1553356800,54,-30.33,149.78,78.8,8.05
180,Shuyskoye,56,RU,1553362309,83,59.37,41.03,28.12,9.89
181,Tual,24,ID,1553362172,96,-5.67,132.75,85.09,11.12
182,Sao Joao da Barra,75,BR,1553360400,65,-21.64,-41.05,82.4,4.7
183,Shunyi,0,CN,1553362250,20,40.13,116.65,48.0,8.95
184,Sabang,0,PH,1553362314,95,13.72,123.58,73.93,8.99
185,Bubaque,8,GW,1553362231,80,11.28,-15.83,84.19,5.86
186,Esperance,40,TT,1553361353,48,10.24,-61.45,88.0,18.34
187,Bay Roberts,75,CA,1553362312,76,47.58,-53.28,54.0,23.04
188,Lompoc,90,US,1553362110,93,34.64,-120.46,61.0,3.18
189,Chokurdakh,56,RU,1553361746,50,70.62,147.9,-17.52,3.18
190,Namibe,24,AO,1553362051,100,-15.19,12.15,78.25,6.76
191,Mahoba,0,IN,1553362322,37,25.29,79.88,64.75,3.74
192,Shaunavon,20,CA,1553362323,61,49.65,-108.41,48.82,4.63
193,Mendi,0,ET,1553362324,51,9.8,35.1,72.85,3.18
194,Santa Cruz,75,US,1553362325,87,36.97,-122.03,57.99,3.36
195,Amazar,36,RU,1553362329,50,53.86,120.88,18.4,5.64
196,Ayan,48,TR,1553362277,62,40.67,33.6,30.91,8.55
197,Saint-Joseph,0,FR,1553361754,34,43.56,6.97,66.0,2.06
198,Lorengau,88,PG,1553362297,99,-2.02,147.27,82.48,12.46
199,Arcangel,56,PH,1553362333,76,11.54,122.35,73.93,5.97
200,Sijunjung,68,ID,1553362334,91,-0.69,100.95,70.24,2.39
201,Shaowu,80,CN,1553362335,95,27.34,117.49,48.1,2.06
202,Viedma,8,AR,1553362336,53,-40.81,-62.99,69.79,17.38
203,Lekoni,80,GA,1553362338,86,-1.58,14.26,77.44,7.99
204,Illapel,0,CL,1553362299,85,-31.63,-71.17,67.18,3.4
205,Dunedin,68,NZ,1553361987,87,-45.87,170.5,57.99,1.01
206,Guanica,1,PR,1553362317,62,17.97,-66.91,87.01,14.99
207,Port Hardy,75,CA,1553360400,81,50.7,-127.42,46.4,5.82
208,Old Town,0,CZ,1553361956,48,50.08,14.42,66.2,3.36
209,Alta,24,NO,1553359800,59,69.97,23.27,37.4,20.8
210,Ambilobe,80,MG,1553361740,97,-13.19,49.05,74.92,2.39
211,Victoria,75,BN,1553360400,94,5.28,115.24,82.4,4.7
212,Jilib,0,SO,1553362349,69,0.49,42.79,81.13,11.9
213,San Patricio,0,PY,1553362112,55,-26.98,-56.83,81.67,3.29
214,Imeni Poliny Osipenko,0,RU,1553362351,36,52.42,136.49,-11.04,2.51
215,Le Vauclin,0,MQ,1553360400,51,14.55,-60.84,86.0,17.22
216,Blovice,0,CZ,1553362307,42,49.58,13.54,64.4,2.24
217,Saint George,0,GR,1553361600,54,39.45,22.34,55.4,4.7
218,Klaksvik,92,FO,1553359800,75,62.23,-6.59,41.0,10.29
219,Sukumo,36,JP,1553362358,86,32.94,132.72,47.02,13.58
220,Santa Isabel do Rio Negro,12,BR,1553362359,64,-0.41,-65.02,90.22,4.18
221,Upernavik,24,GL,1553361508,100,72.79,-56.15,-5.91,9.66
222,Beira,0,ES,1553361905,42,43.2,-8.36,71.01,6.93
223,Dubbo,0,AU,1553360400,69,-32.25,148.6,73.4,8.05
224,Rundu,64,NA,1553362273,25,-17.91,19.77,85.72,9.44
225,Muros,20,ES,1553362010,37,42.77,-9.06,71.01,6.93
226,Talnakh,68,RU,1553361914,66,69.49,88.39,2.29,5.41
227,Altamira,75,BR,1553356800,74,-3.2,-52.21,84.2,6.93
228,Nakamura,20,JP,1553362239,60,35.17,136.87,42.8,25.28
229,Alamosa,1,US,1553362256,38,37.47,-105.87,42.8,4.7
230,Jalu,8,LY,1553362371,43,29.03,21.55,71.32,13.8
231,Sitka,12,US,1553362321,70,37.17,-99.65,55.99,10.0
232,Kontagora,0,NG,1553362301,41,10.4,5.47,92.65,1.72
233,Rawson,68,AR,1553361561,45,-43.3,-65.11,66.1,24.09
234,Gornopravdinsk,76,RU,1553362375,99,60.06,69.92,31.72,4.41
235,Kamsack,1,CA,1553360400,70,51.56,-101.9,44.6,4.7
236,Cayenne,20,GF,1553360400,62,4.94,-52.33,86.0,12.75
237,Cidreira,12,BR,1553362218,85,-30.17,-50.22,74.47,5.41
238,Dandong,0,CN,1553362380,61,40.12,124.37,21.46,5.3
239,Port Lincoln,80,AU,1553362381,100,-34.72,135.86,62.14,3.62
240,Carutapera,80,BR,1553362382,85,-1.2,-46.02,82.66,9.66
241,Rajpura,20,IN,1553358600,68,30.48,76.59,66.2,9.17
242,Phalombe,56,MW,1553362385,85,-15.81,35.65,71.23,3.62
243,Redcliffe,75,GB,1553362384,61,51.45,-2.59,54.0,9.17
244,Komsomolskiy,80,RU,1553361924,88,67.55,63.78,22.63,11.68
245,Meadow Lake,5,CA,1553360400,74,54.13,-108.44,37.4,9.44
246,Ossora,56,RU,1553362337,83,59.24,163.07,13.9,11.79
247,Kamaishi,0,JP,1553362232,84,39.28,141.86,22.63,1.72
248,Yatou,20,CM,1553360400,74,3.63,9.81,86.0,3.36
249,Broome,0,GB,1553361900,57,52.47,1.45,51.8,8.05
250,Kavieng,44,PG,1553362397,100,-2.57,150.8,83.65,10.22
251,Eureka,75,US,1553361606,100,40.8,-124.16,53.01,6.93
252,Nuuk,75,GL,1553359800,40,64.17,-51.74,17.6,19.46
253,Oyama,20,JP,1553362285,74,36.31,139.8,46.0,1.12
254,Vostok,0,RU,1553361938,67,46.45,135.83,6.34,2.51
255,San Martin,75,US,1553362394,87,37.08,-121.61,57.99,4.7
256,Hasaki,20,JP,1553362188,100,35.73,140.83,32.0,1.12
257,Husavik,0,CA,1553362206,63,50.56,-96.99,39.99,5.99
258,Mangan,0,IN,1553362408,46,27.5,88.54,21.82,2.39
259,Srednekolymsk,0,RU,1553361927,53,67.46,153.71,-4.83,2.39
260,Xining,8,CN,1553362305,53,36.62,101.77,17.59,3.62
261,Palana,36,RU,1553362082,62,59.08,159.95,20.2,8.21
262,Vung Tau,88,VN,1553361857,94,10.35,107.08,82.57,16.49
263,Kieta,80,PG,1553361793,98,-6.22,155.63,79.06,2.28
264,Leningradskiy,80,RU,1553362414,79,69.38,178.42,-8.07,20.29
265,Wronki,24,PL,1553362191,67,52.71,16.37,60.01,12.75
266,Fukue,20,JP,1553362409,60,35.03,136.69,42.8,25.28
267,Mamallapuram,20,IN,1553360400,83,12.63,80.17,84.2,6.93
268,Puerto del Rosario,20,ES,1553360400,56,28.5,-13.86,71.6,21.92
269,Auki,0,NG,1553362421,37,12.18,6.51,88.33,2.84
270,Gondang,48,ID,1553362422,97,-7.56,110.27,73.12,3.06
271,Stange,0,NO,1553362237,44,60.72,11.19,41.0,12.75
272,Virginia Beach,1,US,1553362409,25,36.85,-75.98,57.99,16.11
273,Nizhniy Kuranakh,88,RU,1553362425,89,58.84,125.49,17.68,2.73
274,Jiaxing,0,CN,1553362156,90,30.76,120.75,50.0,6.71
275,San Joaquin,68,PH,1553362428,77,10.59,122.14,77.08,12.12
276,Tevriz,24,RU,1553362429,73,57.51,72.4,18.94,2.95
277,Muzaffarabad,44,PK,1553362227,69,34.37,73.47,44.32,3.85
278,Nehe,32,CN,1553362431,33,48.48,124.88,27.67,8.55
279,Benoy,75,RU,1553360400,75,43.06,46.02,42.8,13.42
280,Souillac,0,FR,1553362074,28,45.6,-0.6,71.01,8.05
281,Traverse City,20,US,1553362201,44,44.76,-85.62,41.0,11.41
282,Havre-Saint-Pierre,90,CA,1553361540,92,50.23,-63.6,32.0,20.8
283,Yumen,0,CN,1553362285,62,40.29,97.04,23.8,6.76
284,San Lorenzo,20,PY,1553360400,48,-25.34,-57.51,86.0,2.24
285,Pangnirtung,90,CA,1553360400,70,66.15,-65.72,-0.41,20.8
286,Cherskiy,12,RU,1553362441,22,68.75,161.3,-14.64,2.17
287,Dabeiba,48,CO,1553362442,85,7.0,-76.27,74.56,1.72
288,Bulgan,0,MN,1553362288,53,48.81,103.53,14.35,4.74
289,Nkhata Bay,88,MW,1553362444,99,-11.61,34.3,73.84,3.96
290,Ondarroa,0,ES,1553362230,55,43.32,-2.42,66.2,8.05
291,Havoysund,12,NO,1553361600,74,71.0,24.66,33.8,4.7
292,Beloha,36,MG,1553362340,76,-25.17,45.06,76.99,17.49
293,San Jose,24,PH,1553362321,89,15.79,120.99,67.81,3.29
294,Berlevag,12,NO,1553361966,100,70.86,29.09,30.37,6.76
295,Salalah,40,OM,1553359800,74,17.01,54.1,80.6,10.29
296,Avera,1,US,1553362212,31,33.19,-82.53,68.0,4.7
297,Port Augusta,40,AU,1553362095,93,-32.49,137.76,66.0,3.36
298,Maturin,0,VE,1553362226,36,9.75,-63.18,94.99,7.99
299,Wanning,0,AT,1553362206,44,48.64,13.53,59.0,5.82
300,Erzurum,40,TR,1553361600,90,39.91,41.27,32.0,4.7
301,Igdir,20,IR,1553360400,49,37.52,45.24,46.4,9.17
302,Ampanihy,12,MG,1553362460,71,-24.69,44.75,76.45,12.12
303,Libertador General San Martin,92,AR,1553362461,87,-23.81,-64.79,67.81,4.07
304,Longyearbyen,75,NO,1553359800,73,78.22,15.63,21.2,10.29
305,Buala,48,SB,1553362003,100,-8.15,159.59,78.97,5.19
306,Batemans Bay,24,AU,1553362408,95,-35.71,150.18,66.99,4.0
307,Iqaluit,90,CA,1553362371,71,63.75,-68.52,5.0,32.21
308,Ulaanbaatar,0,MN,1553360400,47,47.92,106.92,14.0,2.24
309,Penzance,75,GB,1553362386,93,50.12,-5.53,51.01,9.17
310,Bathsheba,20,BB,1553360400,58,13.22,-59.52,84.2,18.34
311,Vrangel,0,RU,1553362075,100,42.73,133.08,27.94,18.95
312,Iberia,24,PE,1553362249,67,-11.41,-69.49,86.62,2.95
313,Barinas,0,VE,1553362472,35,8.64,-70.23,96.25,9.78
314,Udachnyy,56,RU,1553361749,58,66.42,112.4,-2.85,4.97
315,Georgetown,40,GY,1553360400,66,6.8,-58.16,91.4,13.87
316,Ayr,20,GB,1553362316,70,55.46,-4.63,46.99,11.41
317,Boa Vista,20,BR,1553360400,34,2.82,-60.67,95.0,11.41
318,Semnan,0,IR,1553356800,24,35.58,53.39,57.2,2.17
319,Hue,40,VN,1553360400,100,16.47,107.58,78.8,5.82
320,Aswan,0,EG,1553356800,18,24.09,32.9,91.4,8.05
321,Fort Nelson,75,CA,1553360400,74,58.81,-122.69,35.6,8.05
322,Atar,0,MR,1553362256,27,20.52,-13.05,81.49,10.33
323,Abu Samrah,0,SY,1553362185,70,35.3,37.18,57.46,6.2
324,Otradnoye,75,RU,1553362482,80,59.77,30.8,39.2,8.95
325,Sandwick,80,GB,1553362293,75,54.57,-2.89,48.0,12.75
326,Menongue,68,AO,1553362488,45,-14.66,17.68,76.27,2.62
327,Omsukchan,0,RU,1553362489,36,62.53,155.8,-13.02,2.51
328,Mamonovo,90,RU,1553360400,87,54.46,19.94,44.6,15.66
329,Sanmenxia,48,CN,1553362491,61,34.77,111.19,30.64,2.39
330,Sao Miguel do Araguaia,32,BR,1553362493,100,-13.28,-50.16,82.3,4.18
331,Neka,0,IR,1553360400,93,36.65,53.3,53.6,4.7
332,Nouadhibou,20,MR,1553360400,73,20.93,-17.03,69.8,18.34
333,Maragogi,0,BR,1553362332,100,-9.01,-35.22,84.28,9.66
334,Oskarshamn,0,SE,1553362204,45,57.26,16.44,46.4,14.99
335,Soyo,92,AO,1553362257,99,-6.13,12.37,75.82,2.17
336,Saldanha,24,PT,1553362499,29,41.42,-6.55,64.75,8.66
337,Tessalit,80,ML,1553362501,11,20.2,1.01,79.69,8.1
338,Tallahassee,1,US,1553362334,23,30.44,-84.28,75.0,3.36
339,Raudeberg,40,NO,1553362208,93,61.99,5.14,41.0,27.51
340,Wewak,44,PG,1553362505,95,-3.55,143.63,76.72,3.29
341,Bunde,40,DE,1553362505,75,53.18,7.27,48.0,8.05
342,Ekangala,48,ZA,1553362302,55,-25.66,28.73,71.01,1.99
343,Berberati,48,CF,1553362508,65,4.26,15.79,82.12,5.08
344,Gat,20,SN,1553360400,57,14.69,-16.54,75.2,18.34
345,Akdepe,0,TM,1553360400,71,42.05,59.39,51.8,4.7
346,Port Blair,0,IN,1553362498,100,11.67,92.75,83.2,4.74
347,Derzhavinsk,68,KZ,1553362513,89,51.1,66.31,30.28,3.06
348,Lebanon,90,US,1553362219,55,43.64,-72.25,37.99,10.29
349,Kruisfontein,0,ZA,1553362516,83,-34.0,24.73,70.33,9.78
350,Sioux Lookout,20,CA,1553360940,33,50.1,-91.92,42.8,8.05
351,Mizdah,12,LY,1553362518,51,31.45,12.98,57.55,8.55
352,Abu Zabad,36,SD,1553362519,20,12.35,29.25,81.94,7.99
353,Nantucket,1,US,1553362502,56,41.28,-70.1,48.99,26.4
354,Nador,20,MA,1553360400,67,35.17,-2.93,62.6,14.99
355,Lata,20,IN,1553362523,61,30.78,78.62,42.25,2.95
356,Sisimiut,68,GL,1553362333,71,66.94,-53.67,-6.81,2.28
357,Hovd,75,NO,1553362515,74,63.83,10.7,39.0,32.21
358,Flin Flon,90,CA,1553360400,71,54.77,-101.88,32.0,11.41
359,Pringsewu,20,ID,1553362527,89,-5.36,104.98,74.92,2.39
360,Itarema,92,BR,1553362528,97,-2.92,-39.92,79.6,5.08
361,Kamogawa,20,JP,1553362433,38,35.13,140.08,42.01,4.7
362,Xai-Xai,20,MZ,1553362267,93,-25.04,33.64,78.97,11.56
363,Dalaba,64,GN,1553362532,38,10.69,-12.25,84.01,4.97
364,Pudozh,88,RU,1553362038,94,61.81,36.54,33.43,19.51
365,Veraval,64,FR,1553362509,81,49.65,0.71,52.0,6.93
366,Singapore,75,MY,1553360400,83,1.29,103.85,82.4,3.36
367,Santa Lucia,40,IT,1553360100,54,39.93,9.66,59.0,2.24
368,Fortuna,20,ES,1553362259,51,38.18,-1.13,62.01,4.7
369,Erenhot,0,CN,1553362014,66,43.65,111.97,30.1,15.48
370,Tres Arroyos,0,AR,1553362541,48,-38.38,-60.28,79.42,21.41
371,Te Anau,92,NZ,1553362543,87,-45.41,167.72,50.89,3.06
372,Rock Island,1,US,1553362537,50,41.51,-90.58,53.01,9.17
373,El Alto,40,BO,1553360400,44,-16.5,-68.19,59.0,8.05
